,label,tfidf,pmi,country,links,alg,kmeans_augmented
0,organic compound,0.01861399887764814,0.10756106947167805,0,1,kmeans_augmented,1
1,protein,0.016679134681321674,0.09403102881616915,0,1,kmeans_augmented,1
2,food,0.016341191074661317,0.08940730247223871,0,1,kmeans_augmented,1
3,carbohydrate,0.016284691359266606,0.09370715615664159,0,1,kmeans_augmented,1
4,chemical formula,0.01263200013607078,0.07371025612045219,0,1,kmeans_augmented,1
5,e number,0.01263200013607078,0.07371025612045219,0,1,kmeans_augmented,1
6,ethanol,0.012577664502820083,0.07180329642099001,0,1,kmeans_augmented,1
7,glucose,0.011976468727331128,0.06988919624298685,0,1,kmeans_augmented,1
8,fat,0.011595160960703935,0.06681914703406601,0,1,kmeans_augmented,1
9,milk,0.011418844247998314,0.062216208164501775,0,1,kmeans_augmented,1
10,pork,0.018822830786187156,0.05815351426441636,1,1,kmeans_augmented,1
11,bread,0.01623767315590427,0.05014981884683429,1,1,kmeans_augmented,1
12,sugar,0.015196692374446456,0.04684564966694224,1,1,kmeans_augmented,1
13,cheese,0.01486012956804249,0.04591066915611818,1,1,kmeans_augmented,1
14,beef,0.014099434455667217,0.04312202110367248,1,1,kmeans_augmented,1
15,tomato,0.013018196463532705,0.040031843695591714,1,1,kmeans_augmented,1
16,rice,0.012987037607593118,0.040175796059322186,1,1,kmeans_augmented,1
17,meat,0.012918481566768173,0.039772737911154224,1,1,kmeans_augmented,1
18,onion,0.012555433476486737,0.0382416572287636,1,1,kmeans_augmented,1
19,italian cuisine,0.012196706805729972,0.03714903845079893,1,1,kmeans_augmented,1
20,new york city,0.040903583547626916,0.2450389646534929,2,1,kmeans_augmented,1
21,chef,0.0333484406841358,0.2128993510773873,2,1,kmeans_augmented,1
22,restaurant,0.03100362980173834,0.17743146004872146,2,1,kmeans_augmented,1
23,food network,0.03078317601612535,0.19652247791758828,2,1,kmeans_augmented,1
24,celebrity chef,0.029429201733101887,0.1901536939109998,2,1,kmeans_augmented,1
25,michelin star,0.028091510745233618,0.1815103441877725,2,1,kmeans_augmented,1
26,manhattan,0.02773717813790127,0.17867424505983856,2,1,kmeans_augmented,1
27,the new york times,0.026415172894010144,0.1546597015564452,2,1,kmeans_augmented,1
28,restaurateur,0.019536733420162822,0.12705724093144077,2,1,kmeans_augmented,1
29,los angeles times,0.01885138153302358,0.12197495129418313,2,1,kmeans_augmented,1
30,united states,0.03779690344939623,0.12608536113821864,3,1,kmeans_augmented,1
31,the coca-cola company,0.02897387971013797,0.11069800741845737,3,1,kmeans_augmented,1
32,soft drink,0.02775169870931271,0.10522051310151122,3,1,kmeans_augmented,1
33,fast food,0.020578188787864136,0.07861254356680702,3,1,kmeans_augmented,1
34,united kingdom,0.020204632023518874,0.07599615066775815,3,1,kmeans_augmented,1
35,restaurant chain,0.019261634140217036,0.07343004687897671,3,1,kmeans_augmented,1
36,coca-cola,0.018846378980907165,0.07175662741544109,3,1,kmeans_augmented,1
37,canada,0.01853182062004336,0.06954860490631803,3,1,kmeans_augmented,1
38,supermarket,0.018147102949499158,0.06913997620534083,3,1,kmeans_augmented,1
39,mcdonald's,0.01729038899406271,0.06567277975846535,3,1,kmeans_augmented,1
40,wine,0.04604365190216866,0.22838253589052313,4,1,kmeans_augmented,1
41,beer,0.033984809777423644,0.178085433676488,4,1,kmeans_augmented,1
42,cocktail,0.02825087064614071,0.15765477349397067,4,1,kmeans_augmented,1
43,alcoholic beverage,0.02773312453345742,0.15529934713154606,4,1,kmeans_augmented,1
44,brewery,0.020564756223305055,0.11731979583417283,4,1,kmeans_augmented,1
45,grape,0.017524518946117736,0.09921902733404331,4,1,kmeans_augmented,1
46,france,0.015824661372870915,0.08584118095192511,4,1,kmeans_augmented,1
47,diageo,0.014905491108377448,0.0855584366141388,4,1,kmeans_augmented,1
48,cabernet sauvignon,0.01423915678860896,0.08170978721627097,4,1,kmeans_augmented,1
49,alcohol by volume,0.01423915678860896,0.08170978721627097,4,1,kmeans_augmented,1
50,species,0.04761106171098011,0.3895131086142322,5,1,kmeans_augmented,1
51,fish,0.04024110842134516,0.4351225125219982,5,1,kmeans_augmented,1
52,mollusc,0.03739587161005411,0.481197897789054,5,1,kmeans_augmented,1
53,atlantic ocean,0.03688739002278493,0.46616046348314605,5,1,kmeans_augmented,1
54,crustacean,0.03568113644327197,0.4633449990790201,5,1,kmeans_augmented,1
55,family,0.034661600046495,0.33994555774354224,5,1,kmeans_augmented,1
56,common name,0.03178790329191228,0.3489388264669163,5,1,kmeans_augmented,1
57,black sea,0.02861801006664307,0.3856692292529076,5,1,kmeans_augmented,1
58,mediterranean sea,0.026360910660292437,0.35194691979852777,5,1,kmeans_augmented,1
59,aquaculture,0.024144284514553433,0.3193677394781946,5,1,kmeans_augmented,1
60,flowering plant,0.03646806772918391,0.17207125103562554,6,1,kmeans_augmented,1
61,fruit,0.03475553287287507,0.15348253907003664,6,1,kmeans_augmented,1
62,genus,0.034646815915660586,0.159325232440394,6,1,kmeans_augmented,1
63,cultivar,0.0278894378383357,0.13346374543557643,6,1,kmeans_augmented,1
64,tree,0.023618833243674246,0.11551598418850981,6,1,kmeans_augmented,1
65,seed,0.021854672453420907,0.10626556170797874,6,1,kmeans_augmented,1
66,perennial plant,0.020664623456383143,0.10150763737353699,6,1,kmeans_augmented,1
67,carl linnaeus,0.02053334209370311,0.0996212260508219,6,1,kmeans_augmented,1
68,india,0.020141834943715447,0.09276666563935032,6,1,kmeans_augmented,1
69,asia,0.01905958456395884,0.09277281727500279,6,1,kmeans_augmented,1
70,dietary supplement,0.010990212636616105,0.06409416420423647,0,1,kmeans_augmented,1
