,Unnamed: 0.1,alg,country,h_cat,key_phrases,key_words,kmeans_augmented,kmeans_plain,label,lda,links,pmi,tfidf,h_cat_tfidf,h_cat_pmi,links_tfidf,links_pmi,key_words_tfidf,key_words_pmi,key_phrases_tfidf,key_phrases_pmi,lda_tfidf,lda_pmi,share,avg_borda,cluster_num
0,0,kmeans_augmented,0,1.0,0.0,0.0,1.0,,food_politics,0.0,0.0,0.07706224011288977,0.01918128001940493,0.02032077059020552,0.16918848316764934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.3125,0
1,1,kmeans_augmented,0,1.0,0.0,0.0,1.0,,nutrition,0.0,0.0,0.07407089388870705,0.01884807877404647,0.01601779404738712,0.0881334592382751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,2.9375,0
2,2,kmeans_augmented,0,1.0,0.0,0.0,1.0,,health,0.0,0.0,0.07365947683228613,0.01768628256283448,0.015992847987147348,0.17584217891395612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,1.6875,0
3,9,kmeans_augmented,0,0.0,1.0,0.0,1.0,,health,0.0,0.0,0.016491559177596704,0.003049864957641082,0.0,0.0,0.0,0.0,0.0,0.0,0.011475864451167196,0.040691714686457436,0.0,0.0,0.5625,1.6875,0
4,3,kmeans_augmented,0,0.0,0.0,1.0,1.0,,health,0.0,0.0,0.015086819606941788,0.003868697327867693,0.0,0.0,0.0,0.0,0.007529549628738133,0.04496837661603408,0.0,0.0,0.0,0.0,0.5625,1.6875,0
5,3,kmeans_augmented,0,1.0,0.0,0.0,1.0,,food_additives,0.0,0.0,0.07450862172731547,0.01693739713738491,0.015939270517867057,0.17416349462838135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,3.6875,0
6,4,kmeans_augmented,0,1.0,0.0,0.0,1.0,,food_and_drink,0.0,0.0,0.043500741139751366,0.016908635085539362,0.015682222498055853,0.16622893906444594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,2.0,0
7,10,kmeans_augmented,1,1.0,0.0,0.0,1.0,,cuisine,0.0,0.0,0.04373120367997796,0.01856050509836678,0.021406509001798083,0.06814170327476875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6896551724137931,2.7241379310344827,1
8,14,kmeans_augmented,1,0.0,1.0,0.0,1.0,,cuisine,0.0,0.0,0.013102821923663207,0.004353199775122989,0.0,0.0,0.0,0.0,0.0,0.0,0.005942884504447118,0.026069729019962736,0.0,0.0,0.6896551724137931,2.7241379310344827,1
9,11,kmeans_augmented,1,1.0,0.0,0.0,1.0,,cuisine_by_country,0.0,0.0,0.042417164817178006,0.01847822534895653,0.0184007927736594,0.0660983551259711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4137931034482759,1.4482758620689655,1
10,12,kmeans_augmented,1,1.0,0.0,0.0,1.0,,food_and_drink_by_country,0.0,0.0,0.03976290802330852,0.016612040984488062,0.016958036041116297,0.0656948979037316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5862068965517241,1.7241379310344829,1
11,13,kmeans_augmented,1,1.0,0.0,0.0,1.0,,culture_by_country,0.0,0.0,0.03923938843932685,0.016576323421510643,0.016503764670151008,0.06303473220117868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.6206896551724138,1
12,14,kmeans_augmented,1,1.0,0.0,0.0,1.0,,cuisine_by_region,0.0,0.0,0.040068104384135175,0.01611750113049635,0.016076590921345592,0.055345614875124655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3793103448275862,1.137931034482759,1
13,20,kmeans_augmented,2,1.0,0.0,0.0,1.0,,births_by_decade,0.0,0.0,0.04858006611585158,0.011184037806178423,0.021356312713822816,0.05264564276657345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
14,21,kmeans_augmented,2,1.0,0.0,0.0,1.0,,years,0.0,0.0,0.04400054279504647,0.01083062138985565,0.019743152408893783,0.04664739135071537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
15,22,kmeans_augmented,2,1.0,0.0,0.0,1.0,,20th-century_births,0.0,0.0,0.05032330535702899,0.01067767116588727,0.01910812626511281,0.04787622770266428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
16,23,kmeans_augmented,2,1.0,0.0,0.0,1.0,,people,0.0,0.0,0.04781708804980328,0.009413457686809084,0.01863569310896289,0.0463594768608704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,2
17,24,kmeans_augmented,2,1.0,0.0,0.0,1.0,,survivors,0.0,0.0,0.04811564629187248,0.009352094075075494,0.018516690314538568,0.05102432413724583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,2
18,30,kmeans_augmented,3,1.0,0.0,0.0,1.0,,companies_by_industry_and_year_of_establishment,0.0,0.0,0.03379536947498805,0.012073334151378406,0.008841342021951654,0.026023462689019453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.08695652173913042,3
19,31,kmeans_augmented,3,1.0,0.0,0.0,1.0,,food_product_brands,0.0,0.0,0.031695466268059226,0.010679388224702059,0.008841342021951654,0.026023462689019453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8260869565217391,3.782608695652174,3
20,32,kmeans_augmented,3,1.0,0.0,0.0,1.0,,food_and_drink_companies_by_year_of_establishment,0.0,0.0,0.030863128952347763,0.01051320440853211,0.008821714174244596,0.025978924395884114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39130434782608703,0.9565217391304348,3
21,33,kmeans_augmented,3,1.0,0.0,0.0,1.0,,brands,0.0,0.0,0.03155160628844838,0.010387318513913028,0.008442331000479577,0.02478601460219556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6086956521739131,2.3043478260869565,3
22,31,kmeans_augmented,3,0.0,0.0,1.0,1.0,,brands,0.0,0.0,0.0196638658878052,0.006562885705786989,0.0,0.0,0.0,0.0,0.005330753794794843,0.017164554049631714,0.0,0.0,0.0,0.0,0.6086956521739131,2.3043478260869565,3
23,34,kmeans_augmented,3,1.0,0.0,0.0,1.0,,establishments_in_the_united_states_by_year,0.0,0.0,0.030695843382040008,0.009968341022904965,0.008161569404661189,0.02393750113860881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.13043478260869565,3
24,40,kmeans_augmented,4,1.0,0.0,0.0,1.0,,alcoholic_drinks_by_country,0.0,0.0,0.0939387476190363,0.02128353758555313,0.0244056599458926,0.12331750907567718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,1.8461538461538465,4
25,41,kmeans_augmented,4,1.0,0.0,0.0,1.0,,alcoholic_drinks,0.0,0.0,0.08782255591771182,0.02058959858913212,0.020239301845431268,0.10666474747940304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4615384615384616,1.6153846153846154,4
26,42,kmeans_augmented,4,1.0,0.0,0.0,1.0,,fermented_drinks,0.0,0.0,0.08373093884625524,0.019332802272801184,0.018851390354116152,0.09750809008328268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,1.5384615384615383,4
27,43,kmeans_augmented,4,1.0,0.0,0.0,1.0,,wine,0.0,0.0,0.07305147446342633,0.015662085690639243,0.017095041611043624,0.0967104835777277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.38461538461538464,4
28,40,kmeans_augmented,4,0.0,1.0,0.0,1.0,,wine,0.0,0.0,0.03659026485995512,0.009706710180928313,0.0,0.0,0.0,0.0,0.0,0.0,0.008771192831759684,0.04842773500212663,0.0,0.0,0.07692307692307693,0.38461538461538464,4
29,40,kmeans_augmented,4,0.0,0.0,0.0,1.0,,wine,0.0,1.0,0.22838253589052315,0.04604365190216866,0.0,0.0,0.016807894824409073,0.05529084877265463,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.38461538461538464,4
30,44,kmeans_augmented,4,1.0,0.0,0.0,1.0,,alcohol,0.0,0.0,0.06959597285631568,0.01479111800394657,0.01594438482075876,0.08776784437802385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,2.3076923076923075,4
31,43,kmeans_augmented,4,0.0,1.0,0.0,1.0,,alcohol,0.0,0.0,0.02951225431396305,0.006610650310846243,0.0,0.0,0.0,0.0,0.0,0.0,0.006415035609944376,0.0383199328330643,0.0,0.0,0.6923076923076923,2.3076923076923075,4
32,41,kmeans_augmented,4,0.0,0.0,1.0,1.0,,alcohol,0.0,0.0,0.02301415663637446,0.005370041157228254,0.0,0.0,0.0,0.0,0.00460819918043953,0.014125849074284413,0.0,0.0,0.0,0.0,0.6923076923076923,2.3076923076923075,4
33,47,kmeans_augmented,4,1.0,0.0,0.0,1.0,,beer,0.0,0.0,0.06613603427712374,0.01326542873796896,0.015505919321427447,0.07086373448069128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,4
34,41,kmeans_augmented,4,0.0,1.0,0.0,1.0,,beer,0.0,0.0,0.03584132413312311,0.009137705038899845,0.0,0.0,0.0,0.0,0.0,0.0,0.007471580641426605,0.03980167512495,0.0,0.0,0.07692307692307693,0.07692307692307693,4
35,41,kmeans_augmented,4,0.0,0.0,0.0,1.0,,beer,0.0,1.0,0.178085433676488,0.033984809777423644,0.0,0.0,0.016643465739924,0.05391584702976583,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,4
36,50,kmeans_augmented,5,1.0,0.0,0.0,1.0,,fishing,0.0,0.0,0.3056119760906384,0.038768918345361066,0.013445469557200995,0.04403294976890042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,5
37,73,kmeans_augmented,5,0.0,1.0,0.0,1.0,,fishing,0.0,0.0,0.09288695227875488,0.00933379090619673,0.0,0.0,0.0,0.0,0.0,0.0,0.004632931822358029,0.0328757475217815,0.0,0.0,0.6,2.0,5
38,53,kmeans_augmented,5,0.0,0.0,1.0,1.0,,fishing,0.0,0.0,0.06664485294593793,0.008739167781702046,0.0,0.0,0.0,0.0,0.007675080348358231,0.0254379307055067,0.0,0.0,0.0,0.0,0.6,2.0,5
39,51,kmeans_augmented,5,1.0,0.0,0.0,1.0,,fishing_industry,0.0,0.0,0.3002534812464365,0.03739773527670917,0.013227758607771124,0.044724650307440376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.4,5
40,52,kmeans_augmented,5,1.0,0.0,0.0,1.0,,animal-based_seafood,0.0,0.0,0.2821162111224749,0.03314581600590423,0.0128889256481092,0.042647821197641364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,5
41,53,kmeans_augmented,5,1.0,0.0,0.0,1.0,,primary_industries,0.0,0.0,0.1981482688247786,0.03182139419297974,0.01082461693847066,0.04096222113804207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
42,54,kmeans_augmented,5,1.0,0.0,0.0,1.0,,seafood,0.0,0.0,0.20423210607202205,0.02840579768991627,0.010613380385567198,0.039257625116877234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,4.0,5
43,60,kmeans_augmented,6,1.0,0.0,0.0,1.0,,edible_plants,0.0,0.0,0.07628642043029611,0.024691042857334502,0.020801037019673733,0.08132839518117059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8636363636363636,3.0909090909090913,6
44,61,kmeans_augmented,6,1.0,0.0,0.0,1.0,,plants_and_humans,0.0,0.0,0.07546736060176631,0.021673339221840875,0.019240527863323927,0.07898119376701075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2272727272727273,0.5909090909090909,6
45,62,kmeans_augmented,6,1.0,0.0,0.0,1.0,,flora_by_continent,0.0,0.0,0.07593480664594061,0.02020116508404037,0.018371600798528655,0.07541430114527478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,6
46,63,kmeans_augmented,6,1.0,0.0,0.0,1.0,,plant_products,0.0,0.0,0.06884944164541422,0.01927304193597117,0.017917065828439546,0.08222856144556097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6818181818181818,2.4545454545454546,6
47,64,kmeans_augmented,6,1.0,0.0,0.0,1.0,,types_of_food,0.0,0.0,0.061987981895879535,0.018552940656881758,0.01745923286999936,0.0450361388949108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,2.5454545454545454,6
48,1,kmeans_augmented,0,0.0,1.0,0.0,1.0,,protein,0.0,0.0,0.01953569428277497,0.0037740844431867603,0.0,0.0,0.0,0.0,0.0,0.0,0.0077631006476236546,0.08802028367365708,0.0,0.0,0.0,0.0,0
49,1,kmeans_augmented,0,0.0,0.0,0.0,1.0,,protein,0.0,1.0,0.09403102881616916,0.016679134681321674,0.0,0.0,0.0,0.0,0.0035279061410959578,0.015506045628878437,0.0,0.0,0.0,0.0,0.0,0.0,0
50,2,kmeans_augmented,0,0.0,1.0,0.0,1.0,,acid,0.0,0.0,0.019137006644350987,0.003697062311693153,0.0,0.0,0.0,0.0,0.0,0.0,0.007350550424754581,0.05672409505533716,0.0,0.0,0.0,0.0,0
51,3,kmeans_augmented,0,0.0,1.0,0.0,1.0,,diet,0.0,0.0,0.01835019262944804,0.003673040723084753,0.0,0.0,0.0,0.0,0.0,0.0,0.007098978959733983,0.06039726276153226,0.0,0.0,0.125,0.1875,0
52,4,kmeans_augmented,0,0.0,1.0,0.0,1.0,,intake,0.0,0.0,0.01938807524464131,0.003485995073626704,0.0,0.0,0.0,0.0,0.0,0.0,0.007019778464243051,0.08520464695986231,0.0,0.0,0.1875,0.625,0
53,10,kmeans_augmented,1,0.0,1.0,0.0,1.0,,dish,0.0,0.0,0.01832693917915756,0.006492930306944007,0.0,0.0,0.0,0.0,0.0,0.0,0.0069378037932818215,0.0257031092675486,0.0,0.0,0.3448275862068966,1.1724137931034482,1
54,74,kmeans_augmented,1,0.0,0.0,1.0,1.0,,dish,0.0,0.0,0.01744542413456129,0.006524053900342151,0.0,0.0,0.0,0.0,0.0041679546494316645,0.052084996999494405,0.0,0.0,0.0,0.0,0.3448275862068966,1.1724137931034482,1
55,11,kmeans_augmented,1,0.0,1.0,0.0,1.0,,meat,0.0,0.0,0.01523138054469481,0.005419187154836221,0.0,0.0,0.0,0.0,0.0,0.0,0.006886343680533738,0.02607521386964677,0.0,0.0,0.10344827586206896,0.27586206896551724,1
56,17,kmeans_augmented,1,0.0,0.0,0.0,1.0,,meat,0.0,1.0,0.039772737911154224,0.012918481566768171,0.0,0.0,0.024951930835136138,0.11246576930120918,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.27586206896551724,1
57,12,kmeans_augmented,1,0.0,1.0,0.0,1.0,,bread,0.0,0.0,0.013427592723480505,0.004508024935872507,0.0,0.0,0.0,0.0,0.0,0.0,0.006500102760820847,0.0266673749816852,0.0,0.0,0.03448275862068965,0.13793103448275862,1
58,76,kmeans_augmented,1,0.0,0.0,1.0,1.0,,bread,0.0,0.0,0.012132147078952282,0.004061798809586389,0.0,0.0,0.0,0.0,0.0042112101073362536,0.04837863268766037,0.0,0.0,0.0,0.0,0.03448275862068965,0.13793103448275862,1
59,11,kmeans_augmented,1,0.0,0.0,0.0,1.0,,bread,0.0,1.0,0.05014981884683429,0.01623767315590427,0.0,0.0,0.01997294489004102,0.333366114453792,0.0,0.0,0.0,0.0,0.0,0.0,0.03448275862068965,0.13793103448275862,1
60,13,kmeans_augmented,1,0.0,1.0,0.0,1.0,,cooked,0.0,0.0,0.013134792022200676,0.004382931545616126,0.0,0.0,0.0,0.0,0.0,0.0,0.006399159314559135,0.027224539469735114,0.0,0.0,0.2413793103448276,0.8965517241379308,1
61,11,kmeans_augmented,1,0.0,0.0,1.0,1.0,,cooked,0.0,0.0,0.015109004261541138,0.005757983204255658,0.0,0.0,0.0,0.0,0.004866300314935828,0.03430963491089819,0.0,0.0,0.0,0.0,0.2413793103448276,0.8965517241379308,1
62,15,kmeans_augmented,1,0.0,1.0,0.0,1.0,,served,0.0,0.0,0.01290231782711748,0.004324447877770721,0.0,0.0,0.0,0.0,0.0,0.0,0.0052704248105013155,0.02361762930423241,0.0,0.0,0.13793103448275862,0.3103448275862069,1
63,12,kmeans_augmented,1,0.0,0.0,1.0,1.0,,served,0.0,0.0,0.013850235860722909,0.005553897776001025,0.0,0.0,0.0,0.0,0.006967915889344463,0.026513376271443158,0.0,0.0,0.0,0.0,0.13793103448275862,0.3103448275862069,1
64,16,kmeans_augmented,1,0.0,1.0,0.0,1.0,,cheese,0.0,0.0,0.012172223775675766,0.0040528367707670715,0.0,0.0,0.0,0.0,0.0,0.0,0.005151575887787391,0.023466457101643343,0.0,0.0,0.10344827586206896,0.3103448275862069,1
65,13,kmeans_augmented,1,0.0,0.0,0.0,1.0,,cheese,0.0,1.0,0.04591066915611818,0.014860129568042491,0.0,0.0,0.01960966554863636,0.320726640919999,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.3103448275862069,1
66,20,kmeans_augmented,2,0.0,1.0,0.0,1.0,,restaurant,0.0,0.0,0.03822255967588172,0.010497654740684946,0.0,0.0,0.0,0.0,0.0,0.0,0.0055885850236902035,0.016969147443877727,0.0,0.0,0.5714285714285714,2.142857142857143,2
67,20,kmeans_augmented,2,0.0,0.0,1.0,1.0,,restaurant,0.0,0.0,0.02857981633167803,0.007792713564424363,0.0,0.0,0.0,0.0,0.0050655611811345575,0.01634364519883677,0.0,0.0,0.0,0.0,0.5714285714285714,2.142857142857143,2
68,22,kmeans_augmented,2,0.0,0.0,0.0,1.0,,restaurant,0.0,1.0,0.17743146004872146,0.031003629801738337,0.0,0.0,0.01786221924184794,0.08680214686794484,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,2.142857142857143,2
69,21,kmeans_augmented,2,0.0,1.0,0.0,1.0,,chef,0.0,0.0,0.03593242508214135,0.006721071207783909,0.0,0.0,0.0,0.0,0.0,0.0,0.005281020066337031,0.01761928846304877,0.0,0.0,0.42857142857142855,1.2857142857142858,2
70,21,kmeans_augmented,2,0.0,0.0,1.0,1.0,,chef,0.0,0.0,0.033295021637560145,0.006979572637414401,0.0,0.0,0.0,0.0,0.004822523332148479,0.020767220414239004,0.0,0.0,0.0,0.0,0.42857142857142855,1.2857142857142858,2
71,21,kmeans_augmented,2,0.0,0.0,0.0,1.0,,chef,0.0,1.0,0.2128993510773873,0.0333484406841358,0.0,0.0,0.020324824054235496,0.09873561848777324,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,1.2857142857142858,2
72,22,kmeans_augmented,2,0.0,1.0,0.0,1.0,,kitchen,0.0,0.0,0.024508403605885645,0.00443772618706743,0.0,0.0,0.0,0.0,0.0,0.0,0.004998705005515339,0.016440307632615458,0.0,0.0,0.8571428571428571,3.0,2
73,27,kmeans_augmented,2,0.0,0.0,1.0,1.0,,kitchen,0.0,0.0,0.029558545469331836,0.005862805343535585,0.0,0.0,0.0,0.0,0.0058054760577451936,0.016420968268733974,0.0,0.0,0.0,0.0,0.8571428571428571,3.0,2
74,23,kmeans_augmented,2,0.0,1.0,0.0,1.0,,london,0.0,0.0,0.02284555822586706,0.004360146103289114,0.0,0.0,0.0,0.0,0.0,0.0,0.0048273154923417355,0.016021856012423445,0.0,0.0,0.0,0.0,2
75,24,kmeans_augmented,2,0.0,1.0,0.0,1.0,,street,0.0,0.0,0.022282895900470383,0.0042245811034375535,0.0,0.0,0.0,0.0,0.0,0.0,0.004620208332081578,0.015474918666780546,0.0,0.0,0.0,0.0,2
76,78,kmeans_augmented,2,0.0,0.0,1.0,1.0,,street,0.0,0.0,0.02704052322856058,0.005689742564763786,0.0,0.0,0.0,0.0,0.002883310165178357,0.04027806798095765,0.0,0.0,0.0,0.0,0.0,0.0,2
77,27,kmeans_augmented,2,0.0,1.0,0.0,1.0,,new_york_city,0.0,0.0,0.024025238493693632,0.0041852451147324395,0.0,0.0,0.0,0.0,0.0,0.0,0.004352356951660859,0.014502045128929518,0.0,0.0,0.0,0.0,2
78,27,kmeans_augmented,2,0.0,1.0,0.0,1.0,,new_york_city,0.0,0.0,0.024025238493693632,0.0041852451147324395,0.0,0.0,0.0,0.0,0.0,0.0,0.004352356951660859,0.014502045128929518,0.0,0.0,0.05263157894736842,0.05263157894736842,2
80,20,kmeans_augmented,2,0.0,0.0,0.0,1.0,,new_york_city,0.0,1.0,0.2450389646534929,0.040903583547626916,0.0,0.0,0.021720443458964456,0.1051455618292346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
81,20,kmeans_augmented,2,0.0,0.0,0.0,1.0,,new_york_city,0.0,1.0,0.2450389646534929,0.040903583547626916,0.0,0.0,0.021720443458964456,0.1051455618292346,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,2
83,29,kmeans_augmented,2,0.0,1.0,0.0,1.0,,opened,0.0,0.0,0.019300930459507364,0.004007815748157541,0.0,0.0,0.0,0.0,0.0,0.0,0.008688965544255838,0.023999425470327185,0.0,0.0,0.0,0.0,2
84,22,kmeans_augmented,2,0.0,0.0,1.0,1.0,,opened,0.0,0.0,0.024689479821549527,0.00680162779088041,0.0,0.0,0.0,0.0,0.008409004761168914,0.023509703527832968,0.0,0.0,0.0,0.0,0.0,0.0,2
85,30,kmeans_augmented,3,0.0,1.0,0.0,1.0,,company,0.0,0.0,0.02738426830703173,0.009737606668058807,0.0,0.0,0.0,0.0,0.0,0.0,0.004115033057934774,0.013071313946301844,0.0,0.0,0.2608695652173913,0.7826086956521741,3
86,30,kmeans_augmented,3,0.0,0.0,1.0,1.0,,company,0.0,0.0,0.020268680967625158,0.00780603530836548,0.0,0.0,0.0,0.0,0.0053914224942692044,0.012800021618516191,0.0,0.0,0.0,0.0,0.2608695652173913,0.7826086956521741,3
87,31,kmeans_augmented,3,0.0,1.0,0.0,1.0,,chain,0.0,0.0,0.02064583089434184,0.006015120991757682,0.0,0.0,0.0,0.0,0.0,0.0,0.00401570682327551,0.013042164678030741,0.0,0.0,0.13043478260869565,0.39130434782608703,3
88,32,kmeans_augmented,3,0.0,1.0,0.0,1.0,,locations,0.0,0.0,0.020317756565390248,0.005765926783587397,0.0,0.0,0.0,0.0,0.0,0.0,0.0037984383402969273,0.012116132618533159,0.0,0.0,0.0,0.0,3
89,33,kmeans_augmented,3,0.0,1.0,0.0,1.0,,brand,0.0,0.0,0.01826452417664431,0.005601261150685704,0.0,0.0,0.0,0.0,0.0,0.0,0.0037546142750203115,0.01180635665572748,0.0,0.0,0.3043478260869565,0.9565217391304348,3
90,34,kmeans_augmented,3,0.0,1.0,0.0,1.0,,stores,0.0,0.0,0.01901499109388112,0.005346891914715563,0.0,0.0,0.0,0.0,0.0,0.0,0.003746745665430525,0.012146681618749669,0.0,0.0,0.2608695652173913,0.6521739130434783,3
91,42,kmeans_augmented,4,0.0,1.0,0.0,1.0,,brewery,0.0,0.0,0.03309092427281148,0.007070285747090901,0.0,0.0,0.0,0.0,0.0,0.0,0.006648782568379126,0.031306411854735615,0.0,0.0,0.15384615384615385,0.6153846153846154,4
92,44,kmeans_augmented,4,0.0,0.0,0.0,1.0,,brewery,0.0,1.0,0.11731979583417285,0.02056475622330505,0.0,0.0,0.04749403186428018,0.3189666602510639,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.6153846153846154,4
93,44,kmeans_augmented,4,0.0,1.0,0.0,1.0,,grapes,0.0,0.0,0.030561029985072118,0.006301614831824051,0.0,0.0,0.0,0.0,0.0,0.0,0.00586469785223722,0.040281677830552864,0.0,0.0,0.07692307692307693,0.3076923076923077,4
94,84,kmeans_augmented,4,0.0,0.0,1.0,1.0,,grapes,0.0,0.0,0.01949792227600268,0.003919222709862017,0.0,0.0,0.0,0.0,0.005209400055925693,0.015687187861090808,0.0,0.0,0.0,0.0,0.07692307692307693,0.3076923076923077,4
95,50,kmeans_augmented,5,0.0,1.0,0.0,1.0,,species,0.0,0.0,0.07147461981716466,0.016385390203669126,0.0,0.0,0.0,0.0,0.0,0.0,0.007333470932899231,0.02676921860683773,0.0,0.0,0.2,0.2,5
